tanggal,usd_per_ounce,kurs_dollar_per_ounce,idr_per_ounce,usd_per_gram,kurs_dollar_per_gram,idr_per_gram
2020-01-01,1517.24,13901.01,21091168,48.78,13901.01,678097
2020-01-02,1526.12,13895.01,21205453,49.07,13895.01,681771
2020-01-03,1548.99,13899.01,21529427,49.8,13899.01,692187
2020-01-04,1552.24,13899.01,21574599,49.91,13899.01,693639
2020-01-05,1552.24,13899.01,21574599,49.91,13899.01,693639
2020-01-06,1564.34,13961.01,21839766,50.29,13961.01,702165
2020-01-07,1571.29,13919.01,21870801,50.52,13919.01,703163
2020-01-08,1555.8,13934.0,21678517,50.02,13934.0,696981
2020-01-09,1549.66,13860.0,21478288,49.82,13860.0,690543
2020-01-10,1559.73,13812.0,21542991,50.15,13812.0,692623
2020-01-11,1562.05,13812.0,21575035,50.22,13812.0,693653
2020-01-12,1562.05,13812.0,21575035,50.22,13812.0,693653
2020-01-13,1551.13,13708.0,21262890,49.87,13708.0,683618
2020-01-14,1542.9,13654.0,21066757,49.61,13654.0,677312
2020-01-15,1552.17,13706.0,21274042,49.9,13706.0,683976
2020-01-16,1550.38,13658.0,21175090,49.85,13658.0,680795
2020-01-17,1558.06,13648.0,21264403,50.09,13648.0,683666
2020-01-18,1557.3,13648.0,21254030,50.07,13648.0,683333
2020-01-19,1557.3,13648.0,21254030,50.07,13648.0,683333
2020-01-20,1560.76,13654.0,21310617,50.18,13654.0,685152
2020-01-21,1557.74,13658.0,21275613,50.08,13658.0,684027
2020-01-22,1555.76,13678.0,21279685,50.02,13678.0,684158
2020-01-23,1564.27,13626.0,21314743,50.29,13626.0,685285
2020-01-24,1572.29,13632.0,21433457,50.55,13632.0,689102
2020-01-25,1571.56,13632.0,21423506,50.53,13632.0,688782
2020-01-26,1571.56,13632.0,21423506,50.53,13632.0,688782
2020-01-27,1582.78,13612.0,21544801,50.89,13612.0,692681
2020-01-28,1568.8,13647.01,21409429,50.44,13647.01,688329
2020-01-29,1570.85,13634.0,21416969,50.5,13634.0,688572
2020-01-30,1580.9,13652.0,21582447,50.83,13652.0,693892
2020-01-31,1583.17,13662.0,21629269,50.9,13662.0,695397
2020-02-01,1589.4,13662.0,21714383,51.1,13662.0,698134
2020-02-02,1589.4,13662.0,21714383,51.1,13662.0,698134
2020-02-03,1578.94,13726.0,21672530,50.76,13726.0,696788
2020-02-04,1553.12,13760.0,21370931,49.93,13760.0,687091
2020-02-05,1558.53,13717.01,21378372,50.11,13717.01,687331
2020-02-06,1565.21,13662.0,21383899,50.32,13662.0,687508
2020-02-07,1567.93,13647.01,21397556,50.41,13647.01,687947
2020-02-08,1570.41,13647.01,21431401,50.49,13647.01,689036
2020-02-09,1570.41,13647.01,21431401,50.49,13647.01,689036
2020-02-10,1574.39,13708.0,21581738,50.62,13708.0,693869
2020-02-11,1566.26,13686.0,21435834,50.36,13686.0,689178
2020-02-12,1569.48,13659.01,21437543,50.46,13659.01,689233
2020-02-13,1577.3,13679.01,21575902,50.71,13679.01,693681
2020-02-14,1581.83,13707.01,21682160,50.86,13707.01,697098
2020-02-15,1583.89,13707.01,21710396,50.92,13707.01,698005
2020-02-16,1583.89,13707.01,21710396,50.92,13707.01,698005
2020-02-17,1582.03,13693.01,21662753,50.86,13693.01,696474
2020-02-18,1604.25,13676.0,21939723,51.58,13676.0,705378
2020-02-19,1606.9,13717.01,22041863,51.66,13717.01,708662
2020-02-20,1621.18,13735.01,22266924,52.12,13735.01,715898
2020-02-21,1639.74,13777.01,22590714,52.72,13777.01,726308
2020-02-22,1643.62,13777.01,22644169,52.84,13777.01,728027
2020-02-23,1643.62,13777.01,22644169,52.84,13777.01,728027
2020-02-24,1672.51,13863.01,23186023,53.77,13863.01,745448
2020-02-25,1643.88,13893.01,22838441,52.85,13893.01,734273
2020-02-26,1640.02,13966.0,22904519,52.73,13966.0,736397
2020-02-27,1650.53,14018.0,23137130,53.07,14018.0,743876
2020-02-28,1591.02,14234.0,22646579,51.15,14234.0,728104
2020-02-29,1586.46,14234.0,22581672,51.01,14234.0,726018
2020-03-01,1586.46,14234.0,22581672,51.01,14234.0,726018
2020-03-02,1594.97,14413.01,22988319,51.28,14413.01,739092
2020-03-03,1641.47,14222.0,23344986,52.77,14222.0,750559
2020-03-04,1641.27,14171.01,23258454,52.77,14171.01,747777
2020-03-05,1663.03,14168.0,23561809,53.47,14168.0,757530
2020-03-06,1665.29,14267.01,23758709,53.54,14267.01,763860
2020-03-07,1674.52,14267.01,23890394,53.84,14267.01,768094
2020-03-08,1674.52,14267.01,23890394,53.84,14267.01,768094
2020-03-09,1671.47,14342.0,23972223,53.74,14342.0,770725
2020-03-10,1652.89,14411.01,23819814,53.14,14411.01,765825
2020-03-11,1643.99,14323.01,23546885,52.86,14323.01,757050
2020-03-12,1587.11,14490.0,22997224,51.03,14490.0,739378
2020-03-13,1522.51,14815.01,22556001,48.95,14815.01,725192
2020-03-14,1529.29,14815.01,22656447,49.17,14815.01,728422
2020-03-15,1529.29,14815.01,22656447,49.17,14815.01,728422
2020-03-16,1507.78,14818.0,22342284,48.48,14818.0,718321
2020-03-17,1529.06,15083.01,23062827,49.16,15083.01,741487
2020-03-18,1487.43,15223.01,22643162,47.82,15223.01,727995
2020-03-19,1474.03,15712.0,23159959,47.39,15712.0,744610
2020-03-20,1487.68,16273.01,24209032,47.83,16273.01,778338
2020-03-21,1498.39,16273.01,24383315,48.17,16273.01,783942
2020-03-22,1498.39,16273.01,24383315,48.17,16273.01,783942
2020-03-23,1550.77,16608.0,25755188,49.86,16608.0,828049
2020-03-24,1623.5,16486.0,26765021,52.2,16486.0,860515
2020-03-25,1614.99,16486.0,26624725,51.92,16486.0,856005
2020-03-26,1638.25,16328.0,26749346,52.67,16328.0,860011
2020-03-27,1627.88,16230.0,26420492,52.34,16230.0,849439
2020-03-28,1627.56,16230.0,26415299,52.33,16230.0,849272
2020-03-29,1627.56,16230.0,26415299,52.33,16230.0,849272
2020-03-30,1620.12,16336.0,26466280,52.09,16336.0,850911
2020-03-31,1599.03,16367.01,26171340,51.41,16367.01,841428
2020-04-01,1584.4,16413.01,26004773,50.94,16413.01,836073
2020-04-02,1612.27,16741.01,26991028,51.84,16741.01,867782
2020-04-03,1618.61,16464.0,26648795,52.04,16464.0,856779
2020-04-04,1618.13,16464.0,26640892,52.02,16464.0,856525
2020-04-05,1618.13,16464.0,26640892,52.02,16464.0,856525
2020-04-06,1651.73,16556.0,27346042,53.1,16556.0,879196
2020-04-07,1652.63,16410.0,27119658,53.13,16410.0,871917
2020-04-08,1650.14,16245.01,26806541,53.05,16245.01,861850
2020-04-09,1684.33,16241.01,27355220,54.15,16241.01,879491
2020-04-10,1686.57,16241.01,27391600,54.22,16241.01,880660
2020-04-11,1688.78,16241.01,27427493,54.3,16241.01,881814
2020-04-12,1688.78,16241.01,27427493,54.3,16241.01,881814
2020-04-13,1713.98,15840.0,27149443,55.11,15840.0,872875
2020-04-14,1733.39,15722.0,27252358,55.73,15722.0,876184
2020-04-15,1715.18,15707.01,26940349,55.14,15707.01,866152
2020-04-16,1712.04,15787.01,27027993,55.04,15787.01,868970
2020-04-17,1687.46,15503.01,26160709,54.25,15503.01,841086
2020-04-18,1684.75,15503.01,26118696,54.17,15503.01,839736
2020-04-19,1684.75,15503.01,26118696,54.17,15503.01,839736
2020-04-20,1694.61,15543.01,26339340,54.48,15543.01,846829
2020-04-21,1675.88,15643.01,26215808,53.88,15643.01,842858
2020-04-22,1711.98,15567.01,26650410,55.04,15567.01,856831
2020-04-23,1727.53,15630.0,27001294,55.54,15630.0,868112
2020-04-24,1719.05,15553.01,26736402,55.27,15553.01,859595
2020-04-25,1729.05,15553.01,26891932,55.59,15553.01,864596
2020-04-26,1729.05,15553.01,26891932,55.59,15553.01,864596
2020-04-27,1712.54,15591.01,26700228,55.06,15591.01,858432
2020-04-28,1705.96,15488.0,26421908,54.85,15488.0,849484
2020-04-29,1700.91,15415.01,26219545,54.69,15415.01,842978
2020-04-30,1687.54,15157.01,25578061,54.26,15157.01,822354
2020-05-01,1697.14,15157.01,25723568,54.56,15157.01,827032
2020-05-02,1700.4,15157.01,25772980,54.67,15157.01,828621
2020-05-03,1700.4,15157.01,25772980,54.67,15157.01,828621
2020-05-04,1705.22,15073.01,25702798,54.82,15073.01,826364
2020-05-05,1702.6,15104.0,25716070,54.74,15104.0,826791
2020-05-06,1686.56,15127.01,25512610,54.22,15127.01,820249
2020-05-07,1714.87,15127.01,25940856,55.13,15127.01,834018
2020-05-08,1710.3,15009.01,25669910,54.99,15009.01,825307
2020-05-09,1702.22,15009.01,25548637,54.73,15009.01,821408
2020-05-10,1702.22,15009.01,25548637,54.73,15009.01,821408
2020-05-11,1696.99,14936.0,25346243,54.56,14936.0,814901
2020-05-12,1702.5,14978.0,25500045,54.74,14978.0,819845
2020-05-13,1712.4,14887.01,25492516,55.05,14887.01,819603
2020-05-14,1733.94,14946.0,25915467,55.75,14946.0,833202
2020-05-15,1749.04,14909.01,26076455,56.23,14909.01,838377
2020-05-16,1742.33,14909.01,25976415,56.02,14909.01,835161
2020-05-17,1742.33,14909.01,25976415,56.02,14909.01,835161
2020-05-18,1730.5,14885.01,25758510,55.64,14885.01,828155
2020-05-19,1741.96,14823.01,25821090,56.01,14823.01,830167
2020-05-20,1748.23,14785.01,25847598,56.21,14785.01,831020
2020-05-21,1725.33,14785.01,25509021,55.47,14785.01,820134
2020-05-22,1735.57,14785.01,25660420,55.8,14785.01,825002
