tanggal,harga_oz,kurs_oz,idr_oz,harga_gr,kurs_gr,idr_gr,update_asli
01 Januari 2020,"1.517,24 (-1.107,25)","13.901,01 (-2.260,99)",21.091.168,"48,78","13.901,01","678.097 (-685.641,64)","01 Januari 2020, pukul 23:59"
02 Januari 2020,"1.526,12 (-1.098,37)","13.895,01 (-2.266,99)",21.205.453,"49,07","13.895,01","681.771 (-681.967,32)","02 Januari 2020, pukul 23:59"
03 Januari 2020,"1.548,99 (-1.075,50)","13.899,01 (-2.262,99)",21.529.427,"49,80","13.899,01","692.187 (-671.551,29)","03 Januari 2020, pukul 23:59"
04 Januari 2020,"1.552,24 (-1.072,25)","13.899,01 (-2.262,99)",21.574.599,"49,91","13.899,01","693.639 (-670.098,98)","04 Januari 2020, pukul 23:59"
05 Januari 2020,"1.552,24 (-1.072,25)","13.899,01 (-2.262,99)",21.574.599,"49,91","13.899,01","693.639 (-670.098,98)","05 Januari 2020, pukul 23:59"
06 Januari 2020,"1.564,34 (-1.060,15)","13.961,01 (-2.200,99)",21.839.766,"50,29","13.961,01","702.165 (-661.573,66)","06 Januari 2020, pukul 23:59"
07 Januari 2020,"1.571,29 (-1.053,20)","13.919,01 (-2.242,99)",21.870.801,"50,52","13.919,01","703.163 (-660.575,87)","07 Januari 2020, pukul 23:59"
08 Januari 2020,"1.555,80 (-1.068,69)","13.934,00 (-2.228,00)",21.678.517,"50,02","13.934,00","696.981 (-666.757,94)","08 Januari 2020, pukul 23:59"
09 Januari 2020,"1.549,66 (-1.074,83)","13.860,00 (-2.302,00)",21.478.288,"49,82","13.860,00","690.543 (-673.195,47)","09 Januari 2020, pukul 23:59"
10 Januari 2020,"1.559,73 (-1.064,76)","13.812,00 (-2.350,00)",21.542.991,"50,15","13.812,00","692.623 (-671.115,22)","10 Januari 2020, pukul 23:59"
11 Januari 2020,"1.562,05 (-1.062,44)","13.812,00 (-2.350,00)",21.575.035,"50,22","13.812,00","693.653 (-670.084,99)","11 Januari 2020, pukul 23:59"
12 Januari 2020,"1.562,05 (-1.062,44)","13.812,00 (-2.350,00)",21.575.035,"50,22","13.812,00","693.653 (-670.084,99)","12 Januari 2020, pukul 23:59"
13 Januari 2020,"1.551,13 (-1.073,36)","13.708,00 (-2.454,00)",21.262.890,"49,87","13.708,00","683.618 (-680.120,67)","13 Januari 2020, pukul 23:59"
14 Januari 2020,"1.542,90 (-1.081,59)","13.654,00 (-2.508,00)",21.066.757,"49,61","13.654,00","677.312 (-686.426,50)","14 Januari 2020, pukul 23:59"
15 Januari 2020,"1.552,17 (-1.072,32)","13.706,00 (-2.456,00)",21.274.042,"49,90","13.706,00","683.976 (-679.762,12)","15 Januari 2020, pukul 23:59"
16 Januari 2020,"1.550,38 (-1.074,11)","13.658,00 (-2.504,00)",21.175.090,"49,85","13.658,00","680.795 (-682.943,50)","16 Januari 2020, pukul 23:59"
17 Januari 2020,"1.558,06 (-1.066,43)","13.648,00 (-2.514,00)",21.264.403,"50,09","13.648,00","683.666 (-680.072,03)","17 Januari 2020, pukul 23:59"
18 Januari 2020,"1.557,30 (-1.067,19)","13.648,00 (-2.514,00)",21.254.030,"50,07","13.648,00","683.333 (-680.405,51)","18 Januari 2020, pukul 23:59"
19 Januari 2020,"1.557,30 (-1.067,19)","13.648,00 (-2.514,00)",21.254.030,"50,07","13.648,00","683.333 (-680.405,51)","19 Januari 2020, pukul 23:59"
20 Januari 2020,"1.560,76 (-1.063,73)","13.654,00 (-2.508,00)",21.310.617,"50,18","13.654,00","685.152 (-678.586,21)","20 Januari 2020, pukul 23:59"
21 Januari 2020,"1.557,74 (-1.066,75)","13.658,00 (-2.504,00)",21.275.613,"50,08","13.658,00","684.027 (-679.711,62)","21 Januari 2020, pukul 23:59"
22 Januari 2020,"1.555,76 (-1.068,73)","13.678,00 (-2.484,00)",21.279.685,"50,02","13.678,00","684.158 (-679.580,69)","22 Januari 2020, pukul 23:59"
23 Januari 2020,"1.564,27 (-1.060,22)","13.626,00 (-2.536,00)",21.314.743,"50,29","13.626,00","685.285 (-678.453,55)","23 Januari 2020, pukul 23:59"
24 Januari 2020,"1.572,29 (-1.052,20)","13.632,00 (-2.530,00)",21.433.457,"50,55","13.632,00","689.102 (-674.636,80)","24 Januari 2020, pukul 23:59"
25 Januari 2020,"1.571,56 (-1.052,93)","13.632,00 (-2.530,00)",21.423.506,"50,53","13.632,00","688.782 (-674.956,75)","25 Januari 2020, pukul 23:59"
26 Januari 2020,"1.571,56 (-1.052,93)","13.632,00 (-2.530,00)",21.423.506,"50,53","13.632,00","688.782 (-674.956,75)","26 Januari 2020, pukul 23:59"
27 Januari 2020,"1.582,78 (-1.041,71)","13.612,00 (-2.550,00)",21.544.801,"50,89","13.612,00","692.681 (-671.057,01)","27 Januari 2020, pukul 23:59"
28 Januari 2020,"1.568,80 (-1.055,69)","13.647,01 (-2.514,99)",21.409.429,"50,44","13.647,01","688.329 (-675.409,32)","28 Januari 2020, pukul 23:59"
29 Januari 2020,"1.570,85 (-1.053,64)","13.634,00 (-2.528,00)",21.416.969,"50,50","13.634,00","688.572 (-675.166,92)","29 Januari 2020, pukul 23:59"
30 Januari 2020,"1.580,90 (-1.043,59)","13.652,00 (-2.510,00)",21.582.447,"50,83","13.652,00","693.892 (-669.846,68)","30 Januari 2020, pukul 23:59"
31 Januari 2020,"1.583,17 (-1.041,32)","13.662,00 (-2.500,00)",21.629.269,"50,90","13.662,00","695.397 (-668.341,32)","31 Januari 2020, pukul 23:59"
01 Febuari 2020,"1.589,40 (-1.035,09)","13.662,00 (-2.500,00)",21.714.383,"51,10","13.662,00","698.134 (-665.604,84)","01 Febuari 2020, pukul 23:59"
02 Febuari 2020,"1.589,40 (-1.035,09)","13.662,00 (-2.500,00)",21.714.383,"51,10","13.662,00","698.134 (-665.604,84)","02 Febuari 2020, pukul 23:59"
03 Febuari 2020,"1.578,94 (-1.045,55)","13.726,00 (-2.436,00)",21.672.530,"50,76","13.726,00","696.788 (-666.950,42)","03 Febuari 2020, pukul 23:59"
04 Febuari 2020,"1.553,12 (-1.071,37)","13.760,00 (-2.402,00)",21.370.931,"49,93","13.760,00","687.091 (-676.647,06)","04 Febuari 2020, pukul 23:59"
