tanggal,inflation_rate
2020-01-01,2.68
2020-02-01,2.98
2020-03-01,2.96
2020-04-01,2.67
2020-05-01,2.19
2020-06-01,1.96
2020-07-01,1.54
2020-08-01,1.32
2020-09-01,1.42
2020-10-01,1.44
2020-11-01,1.59
2020-12-01,1.68
2021-01-01,1.55
2021-02-01,1.38
2021-03-01,1.37
2021-04-01,1.42
2021-05-01,1.68
2021-06-01,1.33
2021-07-01,1.52
2021-08-01,1.59
2021-09-01,1.6
2021-10-01,1.66
2021-11-01,1.75
2021-12-01,1.87
2022-01-01,2.18
2022-02-01,2.06
2022-03-01,2.64
2022-04-01,3.47
2022-05-01,3.55
2022-06-01,4.35
2022-07-01,4.94
2022-08-01,4.69
2022-09-01,5.95
2022-10-01,5.71
2022-11-01,5.42
2022-12-01,5.51
2023-01-01,5.28
2023-02-01,5.47
2023-03-01,4.97
2023-04-01,4.33
2023-05-01,4.0
2023-06-01,3.52
2023-07-01,3.08
2023-08-01,3.27
2023-09-01,2.28
2023-10-01,2.56
2023-11-01,2.86
2023-12-01,2.61
2024-01-01,2.57
2024-02-01,2.75
2024-03-01,3.05
2024-04-01,3.0
2024-05-01,2.84
2024-06-01,2.51
2024-07-01,2.13
2024-08-01,2.12
2024-09-01,1.84
2024-10-01,1.71
2024-11-01,1.55
2024-12-01,1.57
2025-01-01,0.76
2025-02-01,-0.09
2025-03-01,1.03
