tanggal,close_index,open_index,high_index,low_index,volume_billion,change_percent
2025-03-13,6647.42,6700.11,6707.39,6618.54,13990000000.0,-0.26
2025-03-12,6665.04,6566.8,6665.04,6566.2,13970000000.0,1.82
2025-03-11,6545.85,6535.87,6567.58,6499.04,15000000000.0,-0.79
2025-03-10,6598.21,6618.92,6629.44,6568.13,15360000000.0,-0.57
2025-03-07,6636.0,6631.31,6682.94,6577.83,19840000000.0,0.27
2025-03-06,6617.85,6577.85,6667.89,6573.8,13890000000.0,1.32
2025-03-05,6531.4,6404.69,6570.82,6404.69,14350000000.0,2.37
2025-03-04,6380.4,6524.7,6528.97,6361.4,14910000000.0,-2.14
2025-03-03,6519.66,6362.15,6570.95,6347.1,17079999999.999998,3.97
2025-02-28,6270.6,6446.64,6447.88,6246.28,19690000000.0,-3.31
2025-02-27,6485.45,6609.89,6626.26,6443.22,15650000000.0,-1.83
2025-02-26,6606.18,6627.02,6682.87,6547.24,13520000000.0,0.29
2025-02-25,6587.09,6749.44,6772.65,6576.97,19420000000.0,-2.41
2025-02-24,6749.6,6801.68,6818.79,6732.41,15620000000.0,-0.78
2025-02-21,6803.0,6788.9,6814.87,6758.35,13110000000.0,0.22
2025-02-20,6788.04,6796.67,6836.72,6755.43,16890000000.0,-0.1
2025-02-19,6794.87,6877.16,6886.92,6773.91,15990000000.0,-1.14
2025-02-18,6873.55,6847.77,6908.7,6830.78,15860000000.0,0.62
2025-02-17,6830.88,6663.31,6830.88,6658.22,13660000000.0,2.9
2025-02-14,6638.46,6640.13,6679.4,6609.67,12130000000.0,0.38
2025-02-13,6613.57,6637.42,6647.1,6565.78,12610000000.0,-0.48
2025-02-12,6645.78,6540.95,6645.78,6537.48,14130000000.0,1.74
2025-02-11,6531.99,6629.81,6658.23,6500.46,14600000000.0,-1.75
2025-02-10,6648.14,6681.23,6713.95,6585.98,15350000000.0,-1.4
2025-02-07,6742.58,6758.1,6769.78,6656.72,15210000000.0,-1.93
2025-02-06,6875.54,7030.19,7033.62,6830.11,17090000000.0,-2.12
2025-02-05,7024.23,7071.58,7079.46,7002.52,24710000000.0,-0.7
2025-02-04,7073.46,7051.48,7125.94,7037.63,25070000000.0,0.62
2025-02-03,7030.06,7087.75,7089.7,6933.14,13540000000.0,-1.11
2025-01-31,7109.2,7113.58,7174.75,7095.68,12560000000.0,0.5
2025-01-30,7073.48,7142.79,7150.29,7042.69,15690000000.0,-1.29
2025-01-24,7166.06,7255.02,7261.45,7166.06,12220000000.0,-0.92
2025-01-23,7232.64,7275.0,7324.63,7232.64,14200000000.0,-0.34
2025-01-22,7257.13,7227.02,7267.49,7223.26,14650000000.0,1.05
2025-01-21,7181.82,7207.59,7221.73,7176.33,17620000000.0,0.15
2025-01-20,7170.74,7188.4,7201.61,7165.44,18310000000.0,0.22
2025-01-17,7154.66,7115.05,7178.81,7084.3,19780000000.0,0.66
2025-01-16,7107.52,7165.18,7190.61,7071.91,14480000000.0,0.39
2025-01-15,7079.56,6992.85,7084.56,6977.77,17350000000.0,1.77
2025-01-14,6956.67,7014.8,7042.33,6956.67,15100000000.0,-0.86
2025-01-13,7016.88,7076.7,7089.57,6986.59,14990000000.0,-1.02
2025-01-10,7088.87,7076.9,7121.63,7074.14,16620000000.000002,0.34
2025-01-09,7064.59,7093.25,7106.46,7062.1,14850000000.0,-0.22
2025-01-08,7080.35,7099.66,7129.29,7046.17,14710000000.0,-0.04
2025-01-07,7083.28,7074.26,7103.19,7029.51,14470000000.0,0.04
2025-01-06,7080.47,7176.12,7182.02,7073.95,19220000000.0,-1.17
2025-01-03,7164.43,7177.25,7197.01,7135.28,18290000000.0,0.02
2025-01-02,7163.21,7092.43,7163.21,7088.32,16180000000.0,1.18
2024-12-30,7079.9,7026.78,7079.9,6993.07,15970000000.0,0.62
2024-12-27,7036.57,7073.38,7100.27,7024.71,14430000000.0,-0.41
2024-12-24,7065.75,7115.64,7120.58,7063.75,11060000000.0,-0.43
2024-12-23,7096.44,7037.53,7096.44,7035.73,13870000000.0,1.61
2024-12-20,6983.87,6980.17,7032.4,6931.58,14570000000.0,0.09
2024-12-19,6977.24,7034.62,7040.55,6951.05,17090000000.0,-1.84
2024-12-18,7107.88,7168.97,7216.88,7105.07,12240000000.0,-0.7
2024-12-17,7157.73,7238.17,7263.31,7132.06,15740000000.0,-1.39
2024-12-16,7258.63,7304.22,7320.79,7204.65,18650000000.0,-0.9
2024-12-13,7324.79,7379.75,7399.9,7324.79,12010000000.0,-0.94
2024-12-12,7394.24,7441.97,7470.89,7380.03,14770000000.0,-0.94
2024-12-11,7464.75,7444.86,7530.56,7444.17,23550000000.0,0.15
2024-12-10,7453.29,7448.77,7457.81,7396.79,20330000000.0,0.21
2024-12-09,7437.73,7382.61,7440.98,7380.66,23010000000.0,0.74
2024-12-06,7382.79,7302.67,7382.81,7287.6,13020000000.0,0.95
2024-12-05,7313.31,7326.02,7338.6,7283.5,13140000000.0,-0.18
2024-12-04,7326.76,7198.1,7328.32,7187.48,16640000000.0,1.82
2024-12-03,7196.02,7104.93,7196.02,7102.22,17630000000.0,2.11
2024-12-02,7046.99,7117.75,7153.03,7041.34,16390000000.0,-0.95
2024-11-29,7114.27,7168.0,7189.13,7107.28,21840000000.0,-1.19
2024-11-28,7200.16,7215.91,7249.69,7195.67,17900000000.0,-0.63
2024-11-26,7245.89,7329.53,7341.6,7245.89,16410000000.0,-0.93
2024-11-25,7314.11,7218.95,7329.49,7218.83,26480000000.0,1.65
2024-11-22,7195.56,7154.68,7215.69,7154.45,20580000000.0,0.77
2024-11-21,7140.91,7168.33,7209.36,7140.91,15570000000.0,-0.55
2024-11-20,7180.33,7214.0,7229.71,7171.27,16410000000.0,-0.21
2024-11-19,7195.71,7140.19,7229.83,7136.69,20510000000.0,0.86
2024-11-18,7134.28,7152.08,7174.75,7118.87,19170000000.0,-0.38
2024-11-15,7161.26,7192.21,7241.66,7122.68,21310000000.0,-0.74
2024-11-14,7214.56,7303.9,7318.78,7214.56,20940000000.0,-1.29
2024-11-13,7308.67,7344.01,7370.39,7304.87,22630000000.0,-0.18
2024-11-12,7321.99,7271.17,7344.07,7268.61,28770000000.0,0.76
2024-11-11,7266.46,7259.29,7282.2,7182.31,22100000000.0,-0.28
2024-11-08,7287.19,7263.96,7350.36,7263.96,14890000000.0,0.6
2024-11-07,7243.86,7373.57,7381.76,7243.86,20410000000.0,-1.9
2024-11-06,7383.87,7495.13,7506.6,7363.03,23580000000.0,-1.44
2024-11-05,7491.93,7474.45,7497.0,7451.55,18270000000.0,0.17
2024-11-04,7479.5,7505.11,7529.7,7415.81,21230000000.0,-0.34
2024-11-01,7505.26,7573.79,7583.69,7485.46,15530000000.0,-0.91
2024-10-31,7574.02,7569.72,7617.36,7558.68,20330000000.0,0.06
2024-10-30,7569.85,7558.8,7581.91,7521.73,16820000000.0,-0.48
2024-10-29,7606.6,7625.47,7666.43,7587.21,18280000000.0,-0.37
2024-10-28,7634.63,7705.87,7714.74,7599.62,19720000000.0,-0.78
2024-10-25,7694.66,7717.43,7752.25,7678.18,20580000000.0,-0.28
2024-10-24,7716.55,7778.66,7794.86,7716.55,24290000000.0,-0.91
2024-10-23,7787.56,7774.01,7805.92,7761.25,26970000000.0,-0.02
2024-10-22,7788.98,7752.38,7801.4,7731.96,28680000000.0,0.21
2024-10-21,7772.6,7780.25,7795.09,7739.89,24690000000.0,0.16
2024-10-18,7760.06,7762.15,7790.71,7718.68,23430000000.0,0.32
2024-10-17,7735.04,7661.07,7758.67,7657.72,22460000000.0,1.13
2024-10-16,7648.94,7645.21,7658.4,7616.6,19740000000.0,0.29
2024-10-15,7626.95,7579.05,7635.04,7573.45,21870000000.0,0.89
2024-10-14,7559.65,7518.81,7570.27,7518.81,20590000000.0,0.52
2024-10-11,7520.6,7520.53,7549.54,7506.28,15950000000.0,0.54
2024-10-10,7480.08,7501.87,7528.95,7467.82,15800000000.0,-0.28
2024-10-09,7501.29,7556.56,7595.58,7501.22,16920000000.000002,-0.74
2024-10-08,7557.14,7486.72,7592.88,7449.48,19480000000.0,0.71
2024-10-07,7504.13,7493.66,7540.24,7450.2,23580000000.0,0.11
2024-10-04,7496.09,7531.79,7549.23,7467.8,22390000000.0,-0.63
2024-10-03,7543.83,7567.45,7581.33,7504.41,18940000000.0,-0.26
2024-10-02,7563.26,7601.74,7619.1,7501.46,31530000000.0,-1.03
2024-10-01,7642.13,7551.46,7642.13,7547.11,20700000000.0,1.52
2024-09-30,7527.93,7674.29,7679.24,7527.93,22220000000.0,-2.2
2024-09-27,7696.92,7713.8,7736.92,7663.48,19050000000.0,-0.61
2024-09-26,7744.52,7723.1,7763.08,7673.05,20280000000.0,0.05
2024-09-25,7740.9,7747.85,7760.88,7633.45,27670000000.0,-0.48
2024-09-24,7778.49,7774.56,7810.54,7717.84,18280000000.0,0.04
2024-09-23,7775.73,7743.2,7775.73,7675.29,26020000000.0,0.42
2024-09-20,7743.0,7904.4,7904.51,7738.32,31770000000.0,-2.05
2024-09-19,7905.39,7858.11,7910.56,7853.35,25950000000.0,0.97
2024-09-18,7829.13,7845.81,7879.04,7818.96,24180000000.0,-0.03
2024-09-17,7831.78,7832.52,7854.02,7802.27,21610000000.0,0.25
2024-09-13,7812.13,7805.69,7828.97,7775.64,16250000000.0,0.18
2024-09-12,7798.15,7782.02,7833.27,7782.02,25270000000.0,0.48
2024-09-11,7760.96,7770.27,7802.48,7736.78,17190000000.0,-0.01
2024-09-10,7761.39,7725.28,7764.78,7723.3,19650000000.0,0.76
2024-09-09,7702.74,7729.25,7748.33,7654.73,13850000000.0,-0.25
2024-09-06,7721.85,7684.81,7754.48,7683.7,12270000000.0,0.53
2024-09-05,7681.04,7679.65,7722.23,7650.8,13770000000.0,0.11
2024-09-04,7672.9,7577.1,7672.9,7546.05,14760000000.0,0.74
2024-09-03,7616.52,7706.65,7726.66,7598.47,16570000000.0,-1.01
2024-09-02,7694.53,7686.54,7726.19,7669.92,15620000000.0,0.31
2024-08-30,7670.73,7642.78,7673.18,7616.35,19450000000.0,0.57
2024-08-29,7627.6,7679.53,7715.76,7627.6,15390000000.0,-0.41
2024-08-28,7658.88,7604.33,7672.29,7581.05,15200000000.0,0.8
2024-08-27,7597.88,7598.46,7610.2,7547.26,14120000000.0,-0.11
2024-08-26,7606.19,7549.41,7619.9,7549.41,14210000000.0,0.82
2024-08-23,7544.3,7510.66,7567.51,7507.74,12880000000.0,0.74
2024-08-22,7488.68,7531.35,7540.27,7460.4,14070000000.0,-0.87
2024-08-21,7554.59,7563.08,7594.55,7543.64,19990000000.0,0.27
2024-08-20,7533.98,7490.32,7538.16,7482.5,18360000000.0,0.9
2024-08-19,7466.83,7428.74,7466.83,7420.38,13870000000.0,0.47
2024-08-16,7432.09,7443.94,7459.75,7417.21,15130000000.0,0.3
2024-08-15,7409.5,7442.91,7460.39,7386.74,15040000000.0,-0.36
2024-08-14,7436.04,7377.01,7445.66,7372.89,16809999999.999998,1.08
2024-08-13,7356.64,7316.43,7366.65,7286.55,14610000000.0,0.81
2024-08-12,7297.63,7265.15,7297.63,7230.79,15640000000.0,0.56
2024-08-09,7257.0,7219.98,7267.42,7219.92,11270000000.0,0.86
2024-08-08,7195.12,7212.74,7234.45,7181.77,12520000000.0,-0.24
2024-08-07,7212.13,7149.51,7246.26,7147.29,12860000000.0,1.16
2024-08-06,7129.21,7098.67,7167.26,7066.5,12250000000.0,0.99
2024-08-05,7059.65,7254.61,7257.48,6998.81,19600000000.0,-3.4
2024-08-02,7308.12,7304.09,7337.98,7264.01,13070000000.0,-0.24
2024-08-01,7325.98,7274.52,7325.98,7258.87,11900000000.0,0.97
2024-07-31,7255.76,7251.8,7275.19,7226.5,14050000000.0,0.19
2024-07-30,7241.86,7283.92,7292.56,7226.78,12410000000.0,-0.65
2024-07-29,7288.9,7304.6,7333.9,7274.25,13190000000.0,0.01
2024-07-26,7288.17,7262.13,7298.96,7256.53,12870000000.0,0.66
2024-07-25,7240.28,7264.21,7268.05,7207.82,12590000000.0,-0.31
2024-07-24,7262.76,7298.51,7311.15,7249.28,14930000000.0,-0.7
2024-07-23,7313.86,7336.28,7347.02,7293.31,25170000000.0,-0.11
2024-07-22,7321.98,7316.25,7341.91,7301.42,14090000000.0,0.38
2024-07-19,7294.5,7304.28,7315.14,7249.82,12530000000.0,-0.36
2024-07-18,7321.07,7231.73,7330.81,7220.1,14620000000.0,1.34
2024-07-17,7224.22,7261.22,7265.09,7207.58,21820000000.0,0.0
2024-07-16,7224.29,7289.81,7294.79,7213.28,10790000000.0,-0.75
2024-07-15,7278.86,7336.31,7346.1,7252.81,10740000000.0,-0.66
2024-07-12,7327.58,7336.48,7354.16,7300.75,13070000000.0,0.37
2024-07-11,7300.41,7302.5,7328.27,7274.06,14640000000.0,0.18
2024-07-10,7287.04,7283.19,7313.2,7272.12,21430000000.0,0.24
2024-07-09,7269.8,7254.16,7302.94,7239.64,13610000000.0,0.26
2024-07-08,7250.98,7261.98,7265.08,7215.47,16010000000.000002,-0.03
2024-07-05,7253.37,7248.72,7275.94,7213.39,13090000000.0,0.45
2024-07-04,7220.89,7212.7,7262.84,7204.44,15860000000.0,0.34
2024-07-03,7196.75,7153.77,7196.75,7126.81,12680000000.0,1.01
2024-07-02,7125.14,7149.04,7176.87,7099.05,12190000000.0,-0.2
2024-07-01,7139.63,7076.63,7139.63,7075.38,10830000000.0,1.08
2024-06-28,7063.58,6989.37,7084.62,6987.8,10470000000.0,1.37
2024-06-27,6967.95,6929.15,6968.14,6915.83,8520000000.0,0.9
2024-06-26,6905.64,6885.82,6936.26,6885.4,11180000000.0,0.33
2024-06-25,6882.7,6874.87,6890.44,6843.65,10360000000.0,-0.09
2024-06-24,6889.17,6877.47,6914.81,6870.31,11400000000.0,0.13
2024-06-21,6879.98,6838.48,6945.83,6823.06,20220000000.0,0.89
2024-06-20,6819.32,6751.24,6825.56,6728.4,13890000000.0,1.37
2024-06-19,6726.92,6739.9,6791.53,6698.85,21570000000.0,-0.12
2024-06-14,6734.83,6829.99,6840.2,6713.27,14380000000.0,-1.42
2024-06-13,6831.56,6893.84,6896.65,6831.56,15440000000.0,-0.27
2024-06-12,6850.1,6859.35,6866.27,6821.51,16510000000.000002,-0.08
2024-06-11,6855.69,6900.31,6932.46,6855.69,15010000000.0,-0.95
2024-06-10,6921.55,6910.72,6929.1,6846.38,22840000000.0,0.34
2024-06-07,6897.95,6987.79,6994.12,6887.81,10990000000.0,-1.1
2024-06-06,6974.9,6992.56,7032.57,6939.55,13000000000.0,0.39
2024-06-05,6947.67,7114.54,7118.35,6934.94,13710000000.0,-2.14
2024-06-04,7099.31,7071.09,7149.19,7065.03,16070000000.0,0.9
2024-06-03,7036.19,7030.21,7088.4,6993.09,14180000000.0,0.94
2024-05-31,6970.74,7076.37,7102.22,6959.23,26970000000.0,-0.9
2024-05-30,7034.14,7125.77,7134.71,6984.98,17770000000.0,-1.49
2024-05-29,7140.23,7275.53,7282.0,7127.21,14460000000.0,-1.56
2024-05-28,7253.63,7228.51,7308.14,7228.41,16640000000.0,1.08
2024-05-27,7176.42,7219.98,7256.18,7171.49,19090000000.0,-0.64
2024-05-22,7222.38,7198.19,7239.86,7191.11,13570000000.0,0.51
2024-05-21,7186.04,7258.41,7295.06,7179.53,13560000000.0,-1.11
2024-05-20,7266.69,7329.4,7374.55,7243.01,15810000000.0,-0.69
2024-05-17,7317.24,7249.73,7356.71,7245.2,18150000000.0,0.97
2024-05-16,7246.7,7203.17,7270.76,7201.92,15470000000.0,0.93
2024-05-15,7179.83,7085.38,7192.15,7082.12,13990000000.0,1.36
2024-05-14,7083.76,7095.52,7136.64,7071.5,13750000000.0,-0.22
2024-05-13,7099.26,7061.37,7111.6,7052.23,13460000000.0,0.15
2024-05-08,7088.79,7129.46,7164.31,7071.35,14790000000.0,-0.49
2024-05-07,7123.61,7136.85,7159.77,7108.18,14850000000.0,-0.17
2024-05-06,7135.89,7171.59,7178.77,7102.69,16500000000.0,0.02
2024-05-03,7134.72,7142.86,7165.1,7094.62,15950000000.0,0.24
2024-05-02,7117.42,7227.61,7232.95,7072.47,14560000000.0,-1.61
2024-05-01,7234.2,7187.41,7266.87,7179.69,,0.0
2024-04-30,7234.2,7187.41,7266.87,7179.69,15660000000.0,1.1
2024-04-29,7155.78,7021.49,7155.78,7021.49,13000000000.0,1.7
2024-04-26,7036.08,7137.93,7149.25,7036.08,13760000000.0,-1.67
2024-04-25,7155.29,7167.98,7177.06,7132.1,14040000000.0,-0.27
2024-04-24,7174.53,7127.05,7191.18,7126.85,15410000000.0,0.9
2024-04-23,7110.81,7102.81,7165.95,7099.84,17290000000.0,0.52
2024-04-22,7073.82,7099.52,7117.02,7026.48,12160000000.0,-0.19
2024-04-19,7087.32,7131.46,7141.58,7036.21,15070000000.0,-1.11
2024-04-18,7166.81,7151.74,7180.56,7135.52,12940000000.0,0.5
2024-04-17,7130.84,7199.83,7234.37,7130.84,14350000000.0,-0.47
2024-04-16,7164.81,7130.63,7188.09,7066.57,17560000000.0,-1.68
2024-04-05,7286.88,7245.32,7298.86,7239.27,9490000000.0,0.45
2024-04-04,7254.4,7170.72,7254.4,7165.83,10890000000.0,1.22
2024-04-03,7166.84,7214.02,7226.35,7158.74,11100000000.0,-0.97
2024-04-02,7236.98,7199.12,7236.98,7153.94,12770000000.0,0.44
2024-04-01,7205.06,7286.11,7295.0,7137.46,12430000000.0,-1.15
2024-03-28,7288.81,7289.16,7313.01,7244.95,12410000000.0,-0.29
2024-03-27,7310.09,7364.23,7375.4,7292.8,12530000000.0,-0.75
2024-03-26,7365.66,7337.66,7371.84,7330.46,13840000000.0,-0.16
2024-03-25,7377.76,7339.52,7377.76,7316.93,12430000000.0,0.38
2024-03-22,7350.15,7327.51,7350.15,7318.44,12370000000.0,0.16
